timestamp,co_ppm,evento_raro,localizacao,sensor_id,estado
2025-06-03T21:53:39.857665,262.58,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:40.858677,264.16,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:41.859943,268.86,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:42.860688,272.72,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:43.861421,272.49,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:44.862305,274.8,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:45.863170,278.9,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:46.864515,279.79,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:47.865349,284.46,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:48.866640,283.44,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:49.867438,286.05,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:50.868512,283.53,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:51.869783,288.51,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:52.870663,290.91,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:53.871810,293.82,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:54.872571,292.11,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:55.873584,291.7,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:56.875020,292.21,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:57.876129,295.77,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:58.877447,298.53,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:53:59.878374,301.98,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:00.879643,291.09,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:01.881060,285.36,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:02.881850,285.78,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:03.883036,281.27,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:04.884096,285.51,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:05.884860,285.69,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:06.885538,285.8,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:07.886342,290.44,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:08.887460,291.98,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:09.888517,294.01,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:10.889660,299.81,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:11.890367,299.72,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:12.891429,302.39,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:13.892539,293.05,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:14.893682,296.69,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:15.894793,301.3,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:16.895869,287.26,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:17.896773,286.55,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:18.897685,283.03,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:19.898584,279.69,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:20.899877,283.25,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:21.900783,280.52,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:22.901741,281.67,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:23.902500,284.92,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:24.903365,284.77,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:25.904474,283.78,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:26.905261,281.79,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:27.907081,284.5,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:28.908004,287.42,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:29.909158,289.16,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:30.910123,288.6,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:31.910948,286.43,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:32.912258,285.12,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:33.913118,284.29,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:34.914251,288.83,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:35.915429,293.19,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:36.916519,290.78,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:37.917055,290.83,False,Laboratório Central,203,Exposição Severa
2025-06-03T21:54:38.918242,295.33,False,Laboratório Central,203,Exposição Severa
